Epoch,Generator_Loss,Discriminator_Loss,Discriminator_Accuracy
1,0.88005847,0.7770043,0.66636693
2,1.1591387,0.402642,0.99731445
3,1.7303407,1.2483915,0.8128513
4,1.4975065,0.43609753,0.92509645
5,2.4349637,0.5179105,0.8970798
6,3.8752804,1.2617332,0.85150295
7,11.600569,3.08424,0.82958984
8,22.506376,0.3973419,0.9484268
9,91.068184,0.25474718,0.9699707
10,73.71043,0.3071828,0.9635635
11,11.067815,1.0041322,0.8919231
12,4.0261297,0.3119084,0.95089793
13,4.223879,0.16776794,0.9691013
14,4.7479286,0.124329485,0.9732517
15,5.279645,0.13294555,0.9719238
16,4.9048333,0.14688402,0.97368044
17,4.583069,0.13998382,0.9771282
18,4.6564674,0.13936809,0.97886693
19,4.4158564,0.14685372,0.9789741
20,3.6179535,0.15718356,0.9801948
21,3.538008,0.17063609,0.9786228
22,3.565584,0.14451791,0.98082006
23,3.5677967,0.13678902,0.9803318
24,3.7630103,0.17683208,0.9741985
25,3.8519092,1.7184898,0.8368724
26,4.2745557,0.64287144,0.8808296
27,3.9026902,0.42632163,0.91728395
28,2.8974557,0.6418182,0.87664944
29,2.523764,0.6756325,0.86890244
30,5.083617,0.5544944,0.91172826
31,4.702775,0.33918813,0.9337009
32,4.5960755,0.19748728,0.96467704
33,4.7244267,0.262686,0.9461521
34,4.6477656,0.35851836,0.9198325
35,4.4801292,0.26058102,0.95947266
36,5.022988,1.1152712,0.85405153
37,5.5484223,0.55651945,0.8916968
38,5.227719,0.54321915,0.9194038
39,4.1324744,0.4217155,0.9237388
40,2.4293032,0.5614124,0.9048328
41,2.7097483,0.3037892,0.97715795
42,7.205232,0.3021896,0.9523926
43,6.9577312,0.37177315,0.93188477
44,3.9528456,0.3758791,0.93115234
45,4.012447,0.120197296,0.9888767
46,4.2959304,0.18860771,0.9749607
47,5.01015,0.12678707,0.98168945
48,5.0655684,0.206782,0.96397436
49,3.8130457,1.3431904,0.81501883
50,2.8859503,0.41729546,0.92526317
51,1.9825613,0.67057544,0.875262
52,2.2047906,0.74713457,0.8319717
53,2.9932327,0.46217608,0.9170696
54,2.9409137,0.47841987,0.9221072
55,4.874741,0.4581238,0.9343262
56,4.223573,0.65441954,0.8869986
57,3.389377,1.1635764,0.7907417
58,3.1510396,0.35688123,0.9459556
59,2.322515,0.5010354,0.91748047
60,3.0997195,0.2600394,0.9561023
61,3.4312062,0.29842883,0.9492664
